,feature,coefficient
26,numofproducts_4,3.245650071803367
16,age_group_45-60,2.5210636719979935
25,numofproducts_3,2.4056828869727687
17,age_group_above 60,1.5917100951558156
10,saving_group_above 200k,1.3804352175713988
4,geography_germany,0.9808717843979234
15,age_group_32-44,0.8332648290975266
3,gender_scale,0.5577825257824234
2,saving,0.3676327036537587
19,salary_group_10k - 20k,0.34271849014492073
6,saving_group_below 50k,0.3276517804162551
18,salary_group_5k - 10k,0.31794074167702285
23,salary_group_150k - 200k,0.3083386684652823
22,salary_group_100k - 150k,0.2766538413922029
20,salary_group_20k - 50k,0.19247573921835834
21,salary_group_50k - 100k,0.15400227621873716
13,age_group_21-23,0.14040474607267756
14,age_group_24-31,0.1231727380238397
5,geography_spain,0.11567656230936237
1,tenure,-0.01461809526209406
12,creditscore_group_above 700,-0.07541908948582819
11,creditscore_group_650 - 700,-0.171682309544417
8,saving_group_100k - 150k,-0.35297104691057285
9,saving_group_150k - 200k,-0.4298211289003985
7,saving_group_50k - 100k,-0.5576621185229167
0,hascrcard,-0.8724914741701484
24,numofproducts_2,-1.5052881978688224
